TIME,VALUE,DURATION,LEVEL,LABEL
0.500000000,155.563,1.480000000,0.181102,D#3
0.580000000,82.4069,0.120000000,0.015748,E2
0.640000000,246.942,0.140000000,0.0314961,B3
0.680000000,233.082,0.360000000,0.0629921,A#3
1.140000000,311.127,0.260000000,0.15748,D#4
1.560000000,349.228,0.500000000,0.480315,F4
2.060000000,311.127,0.480000000,0.212598,D#4
3.020000000,311.127,0.420000000,0.125984,D#4
3.480000000,349.228,0.480000000,0.228346,F4
4.380000000,130.813,2.780000000,0.259843,C3
4.880000000,311.127,0.500000000,0.330709,D#4
5.380000000,349.228,0.460000000,0.283465,F4
5.860000000,311.127,0.740000000,0.110236,D#4
8.080000000,103.826,0.960000000,0.535433,G#2
8.720000000,311.127,0.620000000,0.385827,D#4
9.180000000,349.228,0.480000000,0.283465,F4
9.680000000,311.127,1.380000000,0.181102,D#4
11.080000000,349.228,0.480000000,0.204724,F4
11.600000000,311.127,0.400000000,0.0944882,D#4
11.960000000,174.614,0.620000000,0.338583,F3
12.540000000,311.127,0.440000000,0.165354,D#4
12.980000000,349.228,0.480000000,0.220472,F4
13.460000000,311.127,0.960000000,0.0866142,D#4
15.780000000,155.563,1.600000000,0.322835,D#3
17.080000000,311.127,0.220000000,0.212598,D#4
17.320000000,311.127,0.220000000,0.291339,D#4
17.520000000,293.665,0.680000000,0.362205,D4
17.720000000,146.832,1.360000000,0.259843,D3
17.980000000,174.614,0.420000000,0.173228,F3
18.260000000,311.127,0.960000000,0.15748,D#4
19.120000000,195.998,0.900000000,0.448819,G3
19.400000000,174.614,0.260000000,0.283465,F3
19.520000000,87.3071,0.160000000,0.0944882,F2
19.660000000,130.813,0.800000000,0.149606,C3
20.060000000,174.614,0.440000000,0.259843,F3
20.460000000,195.998,1.000000000,0.448819,G3
22.760000000,207.652,0.220000000,0.291339,G#3
22.920000000,103.826,0.120000000,0.110236,G#2
22.940000000,195.998,0.480000000,0.669291,G3
23.260000000,103.826,0.920000000,0.677165,G#2
23.280000000,233.082,0.180000000,0.173228,A#3
24.880000000,311.127,0.920000000,0.19685,D#4
25.280000000,103.826,0.300000000,0.181102,G#2
25.300000000,97.9989,1.260000000,0.496063,G2
27.240000000,174.614,0.480000000,0.322835,F3
27.300000000,261.626,0.600000000,0.251969,C4
28.220000000,261.626,0.700000000,0.338583,C4
29.200000000,116.541,1.660000000,0.23622,A#2
29.640000000,174.614,0.420000000,0.275591,F3
30.220000000,349.228,0.440000000,0.456693,F4
30.600000000,174.614,0.460000000,0.401575,F3
30.860000000,349.228,0.540000000,0.188976,F4
31.100000000,155.563,1.180000000,0.291339,D#3
31.660000000,195.998,0.120000000,0.110236,G3
32.280000000,311.127,0.440000000,0.425197,D#4
32.700000000,293.665,0.700000000,0.448819,D4
32.900000000,146.832,1.400000000,0.464567,D3
33.220000000,174.614,0.160000000,0.149606,F3
33.460000000,311.127,0.220000000,0.141732,D#4
34.340000000,195.998,0.900000000,0.503937,G3
34.620000000,174.614,0.260000000,0.251969,F3
34.920000000,130.813,0.300000000,0.141732,C3
35.280000000,174.614,0.500000000,0.362205,F3
35.580000000,130.813,1.040000000,0.188976,C3
35.740000000,195.998,0.780000000,0.503937,G3
36.580000000,195.998,0.120000000,0.133858,G3
36.800000000,116.541,0.840000000,0.19685,A#2
37.720000000,116.541,0.180000000,0.125984,A#2
38.000000000,207.652,0.160000000,0.212598,G#3
38.160000000,195.998,0.480000000,0.677165,G3
38.220000000,87.3071,0.140000000,0.133858,F2
38.480000000,233.082,0.220000000,0.204724,A#3
38.540000000,103.826,0.740000000,0.653543,G#2
38.660000000,97.9989,0.120000000,0.149606,G2
40.180000000,311.127,0.360000000,0.188976,D#4
40.520000000,97.9989,0.760000000,0.346457,G2
40.560000000,103.826,0.160000000,0.125984,G#2
42.500000000,174.614,0.760000000,0.440945,F3
42.600000000,391.995,0.220000000,0.102362,G4
43.060000000,311.127,0.460000000,0.125984,D#4
43.480000000,261.626,0.920000000,0.401575,C4
43.560000000,523.251,0.120000000,0.0787402,C5
43.980000000,329.628,0.220000000,0.385827,E4
44.160000000,349.228,0.820000000,0.480315,F4
44.480000000,116.541,1.600000000,0.251969,A#2
46.300000000,103.826,0.660000000,0.354331,G#2
46.900000000,311.127,0.220000000,0.244094,D#4
47.140000000,311.127,1.080000000,0.582677,D#4
47.300000000,103.826,0.160000000,0.141732,G#2
47.380000000,207.652,0.600000000,0.244094,G#3
47.540000000,261.626,0.600000000,0.425197,C4
47.820000000,466.164,0.120000000,0.133858,A#4
48.040000000,466.164,0.300000000,0.354331,A#4
48.060000000,103.826,0.940000000,0.748031,G#2
48.540000000,261.626,0.440000000,0.141732,C4
49.200000000,261.626,0.420000000,0.251969,C4
49.960000000,311.127,0.200000000,0.23622,D#4
50.120000000,97.9989,0.780000000,0.551181,G2
50.640000000,311.127,0.200000000,0.181102,D#4
50.860000000,311.127,1.300000000,0.480315,D#4
50.960000000,97.9989,0.120000000,0.149606,G2
51.040000000,195.998,0.680000000,0.755906,G3
51.560000000,466.164,0.180000000,0.173228,A#4
51.800000000,466.164,0.300000000,0.228346,A#4
52.000000000,130.813,1.540000000,0.299213,C3
52.520000000,195.998,0.220000000,0.204724,G3
53.760000000,311.127,0.200000000,0.228346,D#4
53.920000000,174.614,0.500000000,0.456693,F3
54.480000000,311.127,0.120000000,0.165354,D#4
54.720000000,261.626,0.440000000,0.275591,C4
55.620000000,311.127,0.160000000,0.141732,D#4
55.740000000,174.614,0.460000000,0.299213,F3
56.260000000,261.626,2.920000000,0.488189,C4
56.400000000,349.228,0.560000000,0.125984,F4
57.020000000,349.228,0.700000000,0.488189,F4
57.220000000,174.614,0.920000000,0.362205,F3
57.780000000,311.127,0.200000000,0.149606,D#4
58.280000000,311.127,0.120000000,0.11811,D#4
58.420000000,311.127,0.120000000,0.11811,D#4
59.220000000,261.626,0.280000000,0.188976,C4
59.540000000,261.626,0.300000000,0.204724,C4
60.580000000,261.626,0.500000000,0.433071,C4
60.600000000,311.127,0.880000000,0.204724,D#4
61.080000000,174.614,0.120000000,0.141732,F3
61.500000000,116.541,1.780000000,0.338583,A#2
61.540000000,349.228,0.140000000,0.165354,F4
62.040000000,174.614,0.240000000,0.141732,F3
62.960000000,174.614,0.340000000,0.133858,F3
63.340000000,174.614,0.220000000,0.110236,F3
64.160000000,349.228,0.180000000,0.19685,F4
64.320000000,174.614,0.520000000,0.456693,F3
64.680000000,349.228,0.460000000,0.267717,F4
64.820000000,103.826,0.380000000,0.165354,G#2
64.840000000,184.997,0.280000000,0.330709,F#3
65.120000000,311.127,0.260000000,0.393701,D#4
65.300000000,155.563,1.040000000,0.338583,D#3
65.900000000,349.228,0.180000000,0.11811,F4
66.100000000,349.228,0.660000000,0.488189,F4
66.120000000,233.082,0.400000000,0.204724,A#3
66.780000000,311.127,0.500000000,0.362205,D#4
67.040000000,466.164,0.160000000,0.291339,A#4
67.180000000,155.563,0.800000000,0.440945,D#3
67.960000000,349.228,0.300000000,0.291339,F4
68.020000000,233.082,0.160000000,0.15748,A#3
68.420000000,349.228,0.460000000,0.559055,F4
68.480000000,698.456,0.120000000,0.15748,F5
68.620000000,184.997,0.240000000,0.299213,F#3
68.920000000,311.127,0.280000000,0.440945,D#4
69.160000000,130.813,1.100000000,0.307087,C3
69.460000000,349.228,0.420000000,0.188976,F4
69.900000000,349.228,0.660000000,0.598425,F4
69.980000000,233.082,0.140000000,0.181102,A#3
70.200000000,233.082,0.120000000,0.133858,A#3
70.580000000,311.127,0.900000000,0.409449,D#4
70.820000000,466.164,0.180000000,0.377953,A#4
71.040000000,130.813,1.200000000,0.259843,C3
71.520000000,349.228,0.220000000,0.299213,F4
71.740000000,311.127,0.680000000,0.346457,D#4
72.220000000,261.626,0.500000000,0.464567,C4
72.460000000,311.127,0.480000000,0.511811,D#4
72.740000000,261.626,1.940000000,0.393701,C4
72.800000000,103.826,0.620000000,0.732283,G#2
73.420000000,311.127,0.460000000,0.370079,D#4
73.860000000,103.826,0.240000000,0.220472,G#2
74.120000000,311.127,0.460000000,0.401575,D#4
74.600000000,311.127,1.040000000,0.519685,D#4
74.720000000,103.826,0.780000000,0.755906,G#2
75.520000000,261.626,0.440000000,0.677165,C4
75.820000000,207.652,0.540000000,0.393701,G#3
76.040000000,311.127,0.420000000,0.322835,D#4
76.080000000,261.626,0.420000000,0.251969,C4
76.580000000,233.082,0.140000000,0.251969,A#3
76.700000000,174.614,0.540000000,1,F3
77.300000000,311.127,0.220000000,0.267717,D#4
77.540000000,311.127,0.300000000,0.740157,D#4
77.860000000,103.826,0.220000000,0.314961,G#2
78.220000000,184.997,0.120000000,0.212598,F#3
78.460000000,349.228,0.380000000,0.685039,F4
78.640000000,116.541,1.080000000,0.708661,A#2
78.920000000,174.614,0.360000000,0.464567,F3
79.420000000,349.228,0.220000000,0.622047,F4
79.560000000,174.614,0.740000000,0.937008,F3
79.640000000,184.997,0.240000000,0.511811,F#3
79.920000000,349.228,0.440000000,0.614173,F4
80.160000000,184.997,0.180000000,0.385827,F#3
80.420000000,311.127,0.200000000,0.385827,D#4
80.620000000,155.563,0.660000000,0.385827,D#3
80.660000000,349.228,0.300000000,0.244094,F4
81.140000000,349.228,0.120000000,0.212598,F4
81.320000000,349.228,0.680000000,0.818898,F4
82.020000000,311.127,0.480000000,0.519685,D#4
82.260000000,466.164,0.160000000,0.409449,A#4
82.420000000,155.563,0.820000000,0.629921,D#3
82.980000000,349.228,0.640000000,0.992126,F4
83.420000000,174.614,0.140000000,0.267717,F3
83.660000000,349.228,0.420000000,0.748031,F4
84.140000000,311.127,0.460000000,0.393701,D#4
84.360000000,130.813,1.000000000,0.401575,C3
84.640000000,349.228,0.480000000,0.653543,F4
85.140000000,349.228,0.280000000,0.937008,F4
85.320000000,195.998,0.680000000,0.724409,G3
85.360000000,184.997,0.120000000,0.433071,F#3
85.840000000,311.127,0.900000000,0.464567,D#4
86.320000000,130.813,0.920000000,0.322835,C3
86.800000000,349.228,0.180000000,0.314961,F4
87.020000000,311.127,0.620000000,0.354331,D#4
87.480000000,261.626,1.040000000,0.645669,C4
87.740000000,311.127,0.480000000,0.527559,D#4
88.140000000,103.826,0.560000000,0.645669,G#2
88.700000000,311.127,0.480000000,0.393701,D#4
88.700000000,261.626,1.160000000,0.464567,C4
89.180000000,207.652,0.560000000,0.440945,G#3
89.420000000,311.127,1.280000000,0.433071,D#4
89.980000000,103.826,0.780000000,0.669291,G#2
90.800000000,261.626,0.460000000,0.480315,C4
91.080000000,184.997,0.120000000,0.23622,F#3
91.100000000,207.652,0.520000000,0.440945,G#3
91.320000000,311.127,0.400000000,0.346457,D#4
91.980000000,174.614,0.420000000,0.755906,F3
92.040000000,207.652,0.700000000,0.346457,G#3
92.520000000,311.127,0.120000000,0.19685,D#4
92.760000000,311.127,0.880000000,0.566929,D#4
93.260000000,207.652,0.140000000,0.212598,G#3
93.680000000,349.228,0.320000000,0.582677,F4
93.880000000,116.541,1.440000000,0.527559,A#2
94.360000000,174.614,0.520000000,0.456693,F3
95.380000000,311.127,0.380000000,0.228346,D#4
95.800000000,155.563,0.420000000,0.244094,D#3
96.320000000,195.998,0.160000000,0.15748,G3
97.260000000,195.998,0.120000000,0.110236,G3